,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Aaron Ginn,@aginnt,2021-11-01T23:49:17.000Z,"Aaron Ginn
@aginnt
·
11월 2일","This gives me hope for New Zealand that they will abandon COVID hysteria.
1:02
1.9만 조회수
RadioGenova
 님의
5
103
330",,5,103,330,['https://pbs.twimg.com/ext_tw_video_thumb/1455089838395469830/pu/img/k3hAuELqiu1Sb33c.jpg'],https://twitter.com/aginnt/status/1455321074036473859
1,"Gretchen Winter, MD",@gretchemaben,2021-11-01T23:54:48.000Z,"Gretchen Winter, MD
@gretchemaben
·
11월 2일","Flight cancelled in DFW. I get a cab to go to the hotel & they tell me I have to share. I insist the other guy in the cab put on a mask. He tells me that from where he’s from (AL) they stopped paying attention to COVID 9 months ago. Yes I know - THAT’S WHY I NEEDED THE VACATION!
GIF
26
33
894",🌼,26,33,894,['https://pbs.twimg.com/tweet_video_thumb/FDJYD7SWQAgEGZf.jpg'],https://twitter.com/gretchemaben/status/1455322461306712067
2,MyTwoPennies #FBNHS,@Kez31788860,2021-11-01T23:47:27.000Z,"MyTwoPennies #FBNHS
@Kez31788860
·
11월 2일","If David Attenborough catches COVID from this eejit, we ride at dawn bitches #covid #cop26 #davidattenborough #climatecrisis #johnsonout
3
11",,,3,11,['https://pbs.twimg.com/media/FDJWYk1XsAEgvBn?format=jpg&name=small'],https://twitter.com/Kez31788860/status/1455320613183176711
3,NPR,@NPR,2021-11-01T23:52:29.000Z,"NPR
@NPR
·
11월 2일","About 9,000 New York City employees, about 6% of the municipal workforce, have been put on unpaid leave for failing to get a COVID shot. Mayor Bill de Blasio said he expected no disruptions from the move.
npr.org
The largest municipal force in the U.S. has thousands on unpaid leave over vaccines
About 9,000 New York city employees are on unpaid leave for failing to heed Mayor Bill de Blasio's Oct. 20 vaccine mandate.
133
164
837",,133,164,837,['https://pbs.twimg.com/card_img/1457961861639512064/LC2crOLY?format=jpg&name=small'],https://twitter.com/NPR/status/1455321880437694467
4,Moira Wyton,@moirawyton,2021-11-01T23:58:41.000Z,"Moira Wyton
@moirawyton
·
11월 2일","i am literally begging radio hosts and pundits to stop speculating if low Sunday COVID numbers are a sign cases are trending down. case counts are always low on Sundays due to low testing/lab capacity, and that's been the case the whole time #bcpoli
27
74
449",,27,74,449,[],https://twitter.com/moirawyton/status/1455323440303390722
5,"HEY, IT’S ZRAY! ANW",@zrayUH,2021-11-01T23:58:47.000Z,"HEY, IT’S ZRAY! ANW
@zrayUH
·
11월 2일","GETTING YOUR COVID BOOSTER SHOT (WHEN IT BECOMES AVAILABLE TO YOU) IS SEXY 
5
22
114",👑 🔜 ‼ ‼ ‼ ‼ ‼ ‼ ‼ ‼,5,22,114,[],https://twitter.com/zrayUH/status/1455323466136047616
6,Dave,@TrapBasquiat,2021-11-01T23:44:33.000Z,"Dave
@TrapBasquiat
·
11월 2일","Lol niggas really don’t give a fuck about Covid no more 
5
10",😂,,5,10,[],https://twitter.com/TrapBasquiat/status/1455319885127561216
7,Jane Doe,@nzhotdog1,2021-11-01T23:56:08.000Z,"Jane Doe
@nzhotdog1
·
11월 2일","2nd cohort for Valneva covid vaccine trials in New Zealand are cancelled. Any vaccine under clinical trial does not get a vaccine passport, if you are in the trial then you can’t get Pfizer. So hard to win. 
#letsgobrenda
4
5
15",,4,5,15,['https://pbs.twimg.com/media/FDJYXehVUAEPLTN?format=jpg&name=small'],https://twitter.com/nzhotdog1/status/1455322797123637252
8,H.,@ruralroots780,2021-11-01T23:53:41.000Z,"H.
@ruralroots780
·
11월 2일","Next time Kenney does a covid speexh we should all throw cheese burgers 
Mr.PoopyButthole
@Mr_Poopy_B_Hole
 · 11월 2일
@ruralroots780 님과 @jkenney 님에게 보내는 답글
GIF
1
10",🤣,,1,10,"['https://pbs.twimg.com/profile_images/1442258542245793797/_diCSE11_mini.jpg', 'https://pbs.twimg.com/tweet_video_thumb/FDJVdPDVkAkWz2x.jpg']",https://twitter.com/ruralroots780/status/1455322180544204802
9,Crafty Miss,@did_40,2021-11-01T23:51:30.000Z,"Crafty Miss
@did_40
·
11월 2일","Johnson sitting next to 2 older gentleman who may be at higher risk of Covid complications, quite possibly one of the three people could have an invisible disability/illness. Why does he think this is okay in a crowded space? #longcovid #postviralillness #pwme #COVID19 #COP26
Edwin Hayward
@uk_domain_names
 · 11월 2일
One of the people in this photo is maskless.

One of the people in this photo appears to have dozed off.

The Venn diagram of this situation would seem to be a single circle...
2
2
14",🦄 🗡,2,2,14,"['https://pbs.twimg.com/profile_images/1404936390668922884/RJkXyrb7_mini.jpg', 'https://pbs.twimg.com/media/FDIa0YAWYAYEYoR?format=jpg&name=small']",https://twitter.com/did_40/status/1455321630884966405
10,Next with Kyle Clark,@nexton9news,2021-11-01T23:58:45.000Z,"Next with Kyle Clark
@nexton9news
·
11월 2일","NEXT on #9News 
• Colorado's current wave of COVID-19 is the second-worst yet.
• A plan to spend a lot more on keeping air clean.
• With so many airline passengers attacking flight crews, do we still have air marshals to intervene?
GIF
2
2
9",,2,2,9,['https://pbs.twimg.com/tweet_video_thumb/FDJYZpVWYAs0PgV.jpg'],https://twitter.com/nexton9news/status/1455323458049544200
