,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,BlueSky,@LikeriverNwind,2021-11-01T10:17:58.000Z,"BlueSky
@LikeriverNwind
·
11월 1일","지구상의 평범한 국민들은 이들에게 속고있다. 백신패스 와 마스크는 통제수단 입니다. 코로나에 대항한 백신이 아니라 백신을 위해 코로나 가 나왔습니다. 이제는 대한민국 국민들도 깨어나야 합니다.
2
3
3",,2,3,3,['https://pbs.twimg.com/ext_tw_video_thumb/1455116841228304384/pu/img/THs-UWegfB07dolI.jpg'],https://twitter.com/LikeriverNwind/status/1455116900279599107
1,ROX Dragons KNEE,@holyknee,2021-11-01T18:36:42.000Z,"ROX Dragons KNEE
@holyknee
·
11월 2일","와...이 시간에 밖에서 뭐 먹는거 얼마만이지..거의 3년 가까이 된거 같은데 넘 생소하다 위드코로나ㅜㅜ
8
4
111",,8,4,111,['https://pbs.twimg.com/media/FDIPOWEacAAgEH2?format=jpg&name=small'],https://twitter.com/holyknee/status/1455242409109962754
2,김은희,@uoeecs,2021-11-01T11:27:39.000Z,"김은희
@uoeecs
·
11월 1일","여러분 뜬금없지만 제 귀여운 비건 계정을 소개합니다
토비는 비건광인 (이하 비광) 의 친구들을 말합니다 - 토모다찌 비광 - 다들 토비가 되어 주세요
그리고 코로나 끝나면 광슐랭파이브스타 맛집투어에 참여해 주세요
ⓥ깍두기투스ⓥ
@klasse_kaktus
 · 11월 1일
11월 1일은 #세계비건의날 입니다. 친애하는 트칭구들과 트친척여러분 마음속 한구석에 있는 비거니즘을 꺼내 보면 어떨까요? 거기다 월요일이기도 합니다. 오늘 하루 완전히 #고기없는월요일을 보내봅시다. 이 글을 인용하여 여러분의 오늘의 #나의비거니즘일기 를 나눠주세요. #WorldVeganDay
이 스레드 보기
1
10",🎗,,1,10,"['https://pbs.twimg.com/media/FDGtDdlaIAAiQjM?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FDGtDdiaMAAxhVQ?format=jpg&name=360x360', 'https://pbs.twimg.com/profile_images/1458216805911212032/omLlgUDv_mini.jpg']",https://twitter.com/uoeecs/status/1455134434890424326
3,사랑바위,@k02459,2021-11-01T14:21:55.000Z,"사랑바위
@k02459
·
11월 1일","20211101 코로나 단계적 일상회복
1
2
5",,1,2,5,['https://pbs.twimg.com/media/FDHU8dbaAAAT4sy?format=jpg&name=small'],https://twitter.com/k02459/status/1455178291787165696
4,위키트리 WIKITREE,@wikitree,2021-11-01T23:00:02.000Z,"위키트리 WIKITREE
@wikitree
·
11월 2일","“심야영화에 팝콘까지” 위드 코로나로 다시 활기 되찾은 극장가 모습
역시 영화는 팝콘 먹으면서 봐야 꿀잼..

#오늘은머니 #TODAYMONEY #CGV #백신패스 #백신패스관 #위드코로나 #영화관 #영화 #단계적일상회복 #듄 #이터널스 #마동석 #마블 #백신 #심야영화 #CJ #dune #Eternals #withcorona
1:22
399 조회수
7
6",🍿,,7,6,[],https://twitter.com/wikitree/status/1455308681235636229
5,열무와시루,@10moosiroo,2021-11-01T14:07:36.000Z,"열무와시루
@10moosiroo
·
11월 1일","위드코로나 기념 베들 다섯 모임 (견주는 셋)
1
2",🐾,,1,2,"['https://pbs.twimg.com/media/FDHRqIfaQAEp0HL?format=jpg&name=small', 'https://pbs.twimg.com/media/FDHRqIhaUAAu2X9?format=jpg&name=small']",https://twitter.com/10moosiroo/status/1455174689119031299
6,Jason prime,@xanatosday,2021-11-01T23:48:59.000Z,"Jason prime
@xanatosday
·
11월 2일","우리도 조심해야 함 참으로 걱정된다는~~~

네덜란드, 확진자 급증에 '위드코로나' 일단 중단
https://n.news.naver.com/article/421/0005695619…
6
8",,,6,8,[],https://twitter.com/xanatosday/status/1455321001470803968
7,네일,@Sequenc69,2021-11-01T12:31:11.000Z,"네일
@Sequenc69
·
11월 1일","바람쐐러 한강 다녀오는길 나중에
가을경치 구경 겸사 여기 업하고
친한 언니 동생 오빠들 잔뜩 끌고
와서 돗자리 깔고 피크닉 즐기다가
맥주한잔 하고싶다. 어차피 오늘
부터 위드 코로나니깐 사람 모임
해도 상관도 없고 가을이 다 끝
나기 전에 놀러오구 싶구만 
1
12",❤ ❤ 🤔,,1,12,"['https://pbs.twimg.com/media/FDG7k32aUAA-YLK?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FDG7lsqaQAAoz_c?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FDG7lUWaUAAdF2S?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FDG7mMBaQAAJ8E2?format=jpg&name=360x360']",https://twitter.com/Sequenc69/status/1455150425972174860
8,YTN,@YTN24,2021-11-01T22:10:04.000Z,"YTN
@YTN24
·
11월 2일","존스홉킨스대 ""코로나19 누적 사망자 5백만 명 넘어""
""미 LA, 샌프란시스코 같은 도시 통째로 소멸한 셈""
""1950년 이후 각종 전쟁 사망자 숫자와 비슷""
심장병·뇌졸중에 이어 사망원인 3위에 올라
美, 사망자 74만명 넘어 전세계 1위 불...
m.ytn.co.kr
코로나로 전세계 500만명 숨져...1950년 이후 각종 전쟁 사망자와 비슷
존스홉킨스대 ""코로나19 누적 사망자 5백만 명 넘어"" / ""미 LA, 샌프란시스코 같은 도시 통째로 소멸한 셈"" / ""1950년 이후 각종 전쟁 사망자 숫자와 비슷"" / 심장병·뇌졸중에 이어 사망원인 3위에 올라 / 美, 사망자 74만명 넘어 전세계 1위 불명예 차지
32
8",,,32,8,['https://pbs.twimg.com/card_img/1460439856627478529/5GqpPjau?format=jpg&name=240x240'],https://twitter.com/YTN24/status/1455296107261489154
9,김훈042,@hoontosimple,2021-11-01T12:01:17.000Z,"김훈042
@hoontosimple
·
11월 1일","위드코로나 기념
4
28",,4,,28,['https://pbs.twimg.com/media/FDG0vm_aQAIpoGM?format=jpg&name=small'],https://twitter.com/hoontosimple/status/1455142901374095365
10,JH약속잘지키는이재명,@SEOJH3180,2021-11-01T22:48:04.000Z,"JH약속잘지키는이재명
@SEOJH3180
·
11월 2일","오영훈 니 새끼는 홍남기새끼 대변인이냐?
씨발 코로나 재난시국에 전국민들한테 재난지원금 주는 게 그게 그리 아깝냐 18새끼야!
홍남기 미친새끼가 카드사 존나 퍼줄땐 주둥이 닥치고 있더라?
news.v.daum.net
이낙연 측, 이재명 '전국민 재난지원금'에 ""정부 상당히 곤혹스러울 듯""
기사내용 요약 ""양정철·유시민, 개방 플랫폼 단계서 선대위 참여 가능할 듯"" [서울=뉴시스] 한주홍 기자 = 오영훈 더불어민주당 의원은 1일 이재명 대선후보가 전국민 재난지원금 지급 방안을 밝힌 데 대해 ""정부의 입장으로서는 상당히 곤혹스러운 부분이 있을 것 같다는 걱정이 있다""고 우려했다. 이낙연 캠프에서 대변인을 맡았던 오 의원은 이날 BBS 라디오
2
13
17",🎗 🍀,2,13,17,['https://pbs.twimg.com/card_img/1460069666009747459/c_wooQ65?format=jpg&name=small'],https://twitter.com/SEOJH3180/status/1455305670656331776
