뉴스 식별자,일자,언론사,기고자,제목,통합 분류1,통합 분류2,통합 분류3,사건/사고 분류1,사건/사고 분류2,사건/사고 분류3,인물,위치,기관,키워드,특성추출(가중치순 상위 50개),본문,URL,분석제외 여부
01601001.20201217200904001,20201217,전북도민일보,박종완 계성 이지움 대표,거울을 바라보며,사회>사회일반, 문화>출판, 문화>미술_건축,,,,"이지움,박종완",태양,,"거울,경자,새해,엊그제,마지막,달력,세월,무상,실감,세월,12월,계획,일들,마무리,시작,코로나바이러스,틈새,세계,확산,경제,산업전반,타격,위축,미래,불안감,대혼란,시대,세계,총력,코로나백신,박차,일부국가,백신접종,시작,부작용,목소리,국내접종,날씨,확진환자,급증,방역당국,초긴장,경로,감염,전국단위,확산,솔선,예방수칙,준수,거리,적극,동참,감염확산,강화,방역조치,명맥,골목상권,노동시장,걱정,작금,코로나정국,사물,분간,거울,기분,세계,가을하늘,정화,일상,제자리,기도,새해,첫날,태양,희망,출근길,미소,얼굴,거울,하루,시작,이웃들,행복,지난날,일상,감사,따름,시절,마음,세상사,일들,마음속,생각,세상,이치,노력,행동,사람들,가슴속,내면,거울,간직,내면,거울,세상,상대방,시선,판단,미래,모습,상상,심리,갈등,정제,타인,형성,거울효과,마음가짐,세상,태도,세상,마음,개개인,성향,형성,집안,가풍,이치,간직,거울,크기,빛깔,세상,마음가짐,세상,일상,감사,신문지,세상,사람,마음속,거울,학창,시절,분단,바닥반,유리창,청소,유리창,친구들,교무실,신문지,제격,기하급수적,감염확산,강화,방역조치,9시,전국,도시들,유령도시,요즘,연말특수,한숨,소상공인들,탄식,하늘,국민,합심,위기,극복,인정,집단,이익,정쟁,국론,분열,상황,자동차운전,백미러,방향,각자,위치,상황,성찰,포스트코,시대,미래비전,긍정,마인드,가슴,거울,가슴,투영,행동,필자,출근길,거울,박종완,계성,이지움,대표","출근길,유리창,일들,신문지,마음속,코로나백신,감염확산,사람들,이지움,확진환자,노동시장,백미러,소상공인들,골목상권,코로나정국,일부국가,자동차,연말특수,소상공인,백신접종,계성,예방수칙,산업전반,자동차운전,방역당국,친구들,기하급수,국내접종,바닥반,유령도시,불안감,첫날,미래비전,방역조치,포스트코,대혼란,교무실,이웃들,부작용,도시들,가을하늘,코로나바이러스"," 경자년 새해를 맞이한 게 엊그제 같은데 어느새 마지막 한 장만 남겨놓은 달력을 보며 어김없이 세월의 무상함을 실감한다. 

 어느 누가 세월을 붙잡을 수 있으랴마는 그래도 12월 한 달만이라도 더디게 보낼 수 있다면 년 초에 계획하고 꿈꿨던 일들을 찬찬히 돌아보며 잘 마무리 할 수 있지 않을까 싶다. 

 작년 하반기에 시작된 코로나바이러스는 일 년..",http://www.domin.co.kr/news/articleView.html?idxno=1321660,
07101201.20201217192201001,20201217,디지털타임스,,"[최원목 칼럼] 거짓, 헌정파괴, 무능의 `연극정치`",정치>청와대,,,,,,"최원목,쇼나펼","미국,영국,일본,월성,중국,울산시,한미,장악,대한민국,학전문대학원,대치,아시아지역","우방,우리정부,검찰,텐가,화이자,미국 국무부,아스트라제네카,외교부차관,이화여대,법무부장관,정부,미국정부,중앙선관위,자원,대만,강남4구,대국,모더나","거짓,헌정파괴,무능,연극정치,최원목,이화여대,법학,전문,대학원,교수,6400여명,대학교수들,회원,가입,사회정의,전국교수모임,정교모,2020년,인물,회원,공지,의견,대한민국,거짓말,대상,大賞,법치,대상,헌법,파괴,수상자,무능,대상,3명,선정,거짓말,분야,문재인,조국,추미애,분야,헌법,파괴,추미애,문재인,조국,무능,분야,문재인,김현미,김종인씨,당선,대학교수들,공개,의견,수집,결과,현직,대통령,현직,법무부장관,분야,전무후무,천인공노,거짓,헌정,파괴,정치,절정,집권세력,적폐청산,사법개혁,자신들,영구집권,권력기관,장악,울산,시장,선거,개입,라임,옵티머스사태,월성,호기,폐쇄,권력,비리,의혹,수사,국민,검찰총장,식물인간,공수처,가동,권력,비리,사건,검찰,칼날,올인,4,국민,검증권,중앙,선관위,서버,선거인명부,투표지,이미지,파일,핵심,증거,검증,시행,전자개표방식,선거방식,100%,신뢰,국민,거짓,헌정파괴,점철,촛불정부,무능,K방역,의료인,자원봉사자들,헌신,결과,정권,치적,선전,코로나19,백신,접종,국제적,개시,상황,정부,백신,조기,확보,실패,그동안,95%,면역률,자랑,미국,화이자,모더,백신,확보,후속,백신,영국산,아스트라제네카,중국,백신,정권,차원,면피용,영국산,선회,미국정부,국가,안보,차원,통제,시장,미국,코로나백신,접근,제한,자원,코로나백신,국제적,보급,백신개발회사,다수,보유,미국,유대관계,친밀도,세계,각국,속도,백신,확보,가능성,좌우,일본,대만,내년,백신,대국민,접종,개시,정부,우방국,그동안,전통,미국,유대관계,아시아지역,미국,동맹,강화,일본,정치,통상,문화,제반분야,적대,대치,심화,상황,K방역,국제적,선전,백신,조기,개발국,미국,개선,노력,외교부차관,퇴임,인사차,부장관,미국,국무부,식당,소맥,한미관계,대한민국,외교,주소,펜데믹,백신,합리적,예상,상황,정치,방역,정권,비판,세력,자원,에너지,정부,코로나19,전체적,대처전략,실종,부동산정책,정치,무능,결정판,부동산가격,거래세,보유세,인상,대책,조세수입,증가,강남4구,주택가격,폭등,풍선효과,전국,주택가격,상승,서민,주택마련,불가능,민간,주도,억제,공공임대주택,국민,정부,의존,유도,국가사회주의적,발상,한몫,주무,부처,장관,영상,출현,호텔,임대,오피스텔,개조,청소년들,임대,특정,이념성향,사람들,교류,비판,수용,정치권력,비극,정책,실패,인정,자신감,아마추어들,정책,거짓,헌정파괴,무능,연극정치,폭주기관차,코로나백신,접종,지연,국민,분노,서민들,임대주택","미국,코로나백신,그동안,영국산,대한민국,코로나19,추미애,투표지,일본,부동산,문재인,거짓말,대학교수들,이화여대,대학교수,주택가격","6400여명의 대학교수들이 회원으로 가입하고 있는 사회정의를 바라는 전국교수모임(정교모)에서 2020년 올해의 인물을 발표했다. 전 회원에게 공지한 후 의견을 물어 2020년 대한민국 거짓말 대상(大賞), 법치와 헌법 파괴 대상, 무능 대상 수상자를 각각 3명씩 선정했다. 거짓말 분야에는 문재인, 조국, 추미애 순이고, 헌법 파괴 분야는 추미애, 문재인..",http://www.dt.co.kr/contents.html?article_no=2020121802102269660001&ref=jeadan,
02100101.20201217160052001,20201217,매일경제,"전종헌,박완준",美 화이자 코로나백신 일부 긴급 회수 영하 70도 배송온도 조절 실패 탓,국제>유럽_EU, 국제>미국_북미,,,,,"구스타프,블룸버그통신,박완준,페르나","앨라배마주,미국,캘리포니아주,美","FDA,인턴,식품의약국,질병통제예방센터,화이자","코로나백신,긴급,회수,영하,배송,온도,조절,실패,미국,승인,감염증,신종,코로나바이러스,코로나19,백신,사용,백신,번째,보관,온도,처리,전량,회수,16일,현지시간,블룸버그통신,코로나,백신,보급,프로그램,스피드,오퍼레이션,워프,초고속,작전,작전,최고,책임자,구스타프,페르,대장,브리핑,이날,언론,캘리포니아주,앨라배마주,배송,상자,백신,운송,온도,영하,백신들,반납,백신,트럭,반납,대체,백신,설명,온도,과도,파악,상태,페르,대장,모험,식품의약국,FDA,질병통제예방센터,CDC,온도,백신,안전,조사,이날,온도,반납,백신,3900명,투약,용량,현지,언론,반납,사태,백신,보관,단점,부각,전망,백신,보관,온도,영하,유지,효능,보장,조건,온도,유지,작전,백신,수송,극복,백신,영하,안전,여부,회사,전종헌,박완준,인턴","박완준,페르,워프,코로나바이러스,전종헌,코로나,질병통제예방센터,의약국,식품의약국,책임자,구스타프,미국,감염증,블룸버그통신,캘리포니아주,앨라배마주,코로나19,백신들,cdc,fda,코로나백신","미국에서 승인을 받아 신종 코로나바이러스 감염증(코로나19) 백신으로 사용 중인 화이자 백신의 첫 번째 선량의 일부가 보관 온도가 너무 낮아져 전량 회수 처리됐다.
16일(현지시간) 블룸버그통신에 따르면 코로나 백신 개발 보급 프로그램인 '오퍼레이션 워프 스피드'(초고속 작전) 작전의 최고 책임자인 구스타프 페르나 대장은 이날 언론 브리핑에서 ""캘리포니..",http://news.mk.co.kr/newsRead.php?no=1296283&year=2020,
01100801.20201217144624001,20201217,조선일보,도쿄/이하원 특파원,"1억 2500만 국민 백신 확보한 일본, 조기 접종할 듯",국제>일본,,,,,,"아베 신조,菅義偉,스가 요시히데","일본,도쿄","니혼게이자이,아스트라제네카,정부,스가,일본,국회,화이자,모더나","확보,국민,백신,일본,조기,접종,내년,지자체,접종,교부,일본,정부,일본인,코로나,백신,확보,개시,조기,접종,니혼게이자이,신문,보도,니혼게이자이,신문,인터넷,홈페이지,개설,접종,코로나,백신,특집,코너,일본,정부,내년,상반기,화이자,1억,6000만,아스트라제네카와,회분,6000만,백신,조달,합의,모더나,상반기,5000만,2500만,조달,계획,신문,접종,계획,코로나,감염,확대,억제,동시,올림픽,내년,도쿄,실현,비장,무기,계획,일본,접종,사람,무료,스가,내각,의료종사자,중증,위험,고령자,지병,사람,우선적,접종,방침,지자체,내년,순서,주민,접종권,개별적,전달,예정,일본,계획,백신,조달,착수,화이자,협상,조기,국민,백신,확보,성공,아베,신조,총리,회견,상반기,국민,접종,분량,코로나백신,확보,약속,백신,접종,15조,규모,추경예산,확보,계획,순조,진행,스가,요시히데,菅義偉,총리,기회,내년,상반기,일본인,백신,국회,안정성,효율성,최우선적,과학적,견해,입각,백신,접종,언급,일본,국회,신속,일본,국회,이달,코로나,백신,접종,무료,핵심,개정안,예방,접종법,통과,일본,정부,접종,건강,피해,손해,계약,제약사","일본,상반기,코로나,1억,2500만,일본인,스가,지자체,접종권,화이자,6000만,접종법,도쿄,아베,아스트라제네카와,니혼게이자이,제약사,종사자,효율성,의료종사자,추경예산","일본 정부는 1억 2500만 일본인 모두가 맞을 수 있는 코로나 백신을 확보, 조기 접종 개시를 목표로 하고 있다고 니혼게이자이 신문이 보도했다. 니혼게이자이 신문은 최근 인터넷 홈페이지에 개설한 ‘코로나 백신 접종’ 특집 코너를 통해 이같이 전했다. 
 
이에 따르면, 일본 정부는 내년 상반기에 화이자와 1억2000만 회(6000만 명)분, 아스트라제..",https://www.chosun.com/international/2020/12/17/HAHIWALDR5AWRKAIBZX3DUPR3Q/?utm_source=bigkinds&utm_medium=original&utm_campaign=news,
02100101.20201217113752001,20201217,매일경제,"전종헌,박완준",`세계 최초` 英 코로나백신 병 주사기 박물관으로,국제>유럽_EU, 문화>미술_건축, IT_과학>IT_과학일반,,,,박완준,"英,영국,마거릿,런던","과학박물관,영국,인턴,요양,켄싱턴,보건당국,과학박물관 큐레이터,보건부,화이자","세계,코로나백신,주사기,박물관,감염증,신종,코로나바이러스,코로나19,백신,승인,일반,투여,영국,사용,백신,약병,사우스,켄싱턴,과학박물관,전시,보존,영국,과학,박물관,박물관,8일,현지시간,영국,세계,코로나19,백신,접종,사실,기념,키넌,접종자,마거릿,백신,유리병,백신,접종,사용,주사기,내년,전시실,의학,분야,전시,계획,전시,내년,영국,보건,당국,백신,접종,약병,주사기,의료폐기물,당국,감독,폐기,일반적,박물관,국민보건서비스,보건부,산하,국민,보건,서비스,협조,번째,백신,접종,약병,회수,나타샤,매켄,과학,박물관,큐레이터,백신,접종,사용,유리병,보존,코로나19,역사,후세,공유,중요,설명,약병,주사기,치료,사용,인공호흡기,면봉,검체,채취,마스크,개인보호장비,전시,계획,영국,8일,긴급,승인,백신,대상자,초기,접종,현장,의료,인력,80세,대상,요양원,직원,접종,진행,영국,2000만,면역,생성,분량,도즈,백신,구매,인구,40%,2500만,접종,전종헌,박완준,인턴","영국,박물관,주사기,약병,코로나19,과학박물관,보건부,큐레이터,박완준,요양원,접종자,코로나백신,국민보건서비스,전종헌,코로나바이러스,마거릿,유리병,개인보호장비,80세,나타샤,폐기물,키넌,전시실,매켄","신종 코로나바이러스 감염증(코로나19) 백신을 최초 승인 후 일반에 투여한 영국이 첫 번째로 사용한 화이자 백신 약병을 런던 사우스 켄싱턴의 과학박물관에 전시 보존키로 했다.
영국 과학박물관에 따르면 박물관 측은 지난 8일(현지시간) 영국에서 세계 최초로 코로나19 백신이 접종된 사실을 기념해 첫 접종자 마거릿 키넌(90)이 맞은 백신이 들어 있던 빈 ..",http://news.mk.co.kr/newsRead.php?no=1294544&year=2020,
02100601.20201217100206001,20201217,한국경제,김수현(ksoohyun@hankyung.com),"독일, 27일부터 코로나백신 접종 EU ""27개 회원국 동시 시작""",국제>유럽_EU, 국제>중남미,,,,,"폰데어라이엔,슈판,우르술라,마르가리티스","독일,프랑스,영,캐나다,미국,유럽,사우디아라비아,싱가포르,스페인,영국,시나스,이탈리아,바레인,멕시코","바이오엔테크,독일,유럽의회,충분,공동성명,미국,유럽,로이터통신,화이자,베를린시 당국,EU,유럽의약품청,화이자·,EMA,유럽연합,AFP통신,보건부,집행위,유럽연합(","독일,27일,코로나백신,접종,EU,회원국,동시,시작,유럽연합,EU,27일,현지시간,감염증,신종,코로나바이러스,코로나19,백신,접종,시작,유럽연합,우르술라,폰데어라이엔,EU,집행위원장,회원국,코로나19,백신,접종,시작,제안,독일,27일,백신,접종,시작,규제기관,EU,의약품,규제,기관,유럽의약품청,EMA,화이자,바이오엔테크,코로나19,백신,사용,승인,일정,상태,종말,EU,코로나,접종,백신,충분,AFP통신,옌스,슈판,독일,보건부,장관,27일,접종,코로나19,백신,시작,계획,백신,승인,요양시설,거주,노인,접종,언급,보도,로이터통신,베를린시,당국,슈판,장관,독일,보건당국,회의,성명,27일,코로나19,백신,접종,유럽,27일,백신,접종,시작,전망,집행위원장,폰데어라이엔,EU,집행,위원장,회원국,이날,코로나19,백신,시작,제안,회원국,단합,나라,접종,조율,취지,EU,주요국,공감대,형성,독일,프랑스,이탈리아,스페인,백신,접종,조율,공동성명,폰데어라이엔,위원장,연설,이날,유럽,의회,코로나19,팬데믹,대유행,종말,인구,70%,백신,접종,27개국,가능,접종,시작,유럽,사람,백신,구입,강조,퍼실리티,세계,백신,공급,기구,코백스,COVAXFacility,접종,이웃,나라,지원,승인,백신,긴급,사용,EU,기구,속도,EU,산하,EMA,화이자,미국,독일,바이오엔테크,공동개발,코로나19,백신,승인,결정,회의,예정,예정,일정,사용,승인,8일,EMA,회의,백신,승인,권고,EU,EMA,자문,회원국들,협의,백신,출시,최종,승인,현지,언론,EU,집행위,백신,승인,예상,EU,집행위,기간,단축,결정,최종,사용,예정,승인,절차,1주일,상태,EU,국가,EU,집행위,공식,승인,접종,즉시,백신,시작,부위원장,마르가리티스,시나스,EU,집행위,백신,유럽인,크리스마스,선물,영국,미국,8일,14일,화이자,바이오엔테크,백신,접종,시작,화이자,바이오엔테크,백신,사용,결정,나라,영국,미국,싱가포르,캐나다,바레인,사우디아라비아,멕시코","eu,독일,코로나19,회원국,유럽,집행위,미국,폰데어라이엔,화이자,ema,바이오엔테크,코백스,슈판","유럽연합(EU)이 이르면 오는 27일(이하 현지시간)부터 신종 코로나바이러스 감염증(코로나19) 백신 접종을 시작할 것으로 보인다. 
 
우르술라 폰데어라이엔 유럽연합(EU) 집행위원장이 27개 회원국에게 같은 날 코로나19 백신 접종을 시작하자고 제안한 가운데, 독일이 27일부터 백신 접종을 시작한다고 밝히면서다. 
 
현재 EU 의약품 규제기관인 유..",https://www.hankyung.com/international/article/2020121780177,
01100701.20201216233320001,20201216,세계일보,남상훈,[사이언스프리즘] 신경세포에게 배우는 코로나 방역,IT_과학>과학, 사회>여성,,,,,문제일,원천,"노벨상,대구경북과학기술원","신경세포,코로나,방역,사람,1000억,신경세포,상호작용,생각,감정,조율,신경세포들,안팎,자극,감지,활동,수용체,단백질,그간,형태,수용체,발견,그중,단백질,결합,수용체,생리의학상,노벨,생리,의학상,노벨,화학,선정,주목,감지,광수용체,감지,후각수용체,심장박동,관여,아드레날린,수용체,약물,수용체,단백질,결합,타깃,수용체,중요성,가늠,수용체,과학적,코로나19,확산,연계,사회,흥미,시사점,수용체,단백질,결합,활성기전,주인공,노벨상,후각수용체,후각수용체,활성,신경,세포,표면,존재,후각수용체,냄새물질,감지,냄새물질,감지,후각수용체,세포,신호,전달,단백질,G-단백질,활성,활성화,G-단백질,세포,전달,물질,효소,활성,전달,물질,신경세포,흥분,냄새,신경세포,방법,냄새,감지,세포,효율적,신호,증폭,문제일,대구경북과학기술원,교수,인지과학,냄새물질,10개,후각수용체,활성,가정,수용체,10개,G-단백질,활성,활성화,G-단백질,효소,활성,가정,냄새물질,최종,효소,활성,1000개,전달,물질,세포,흥분,공기,극미량,냄새물질,증폭,가능,감지,냄새,냄새,세포,보호기전,형태,냄새,감지,신경세포,흥분,피곤,후각신경세포,지속적,흥분상태,유해물질,스트레스,누적,세포,지속적,흥분,후각,수용체,활성,안전장치,작동,안전장치,세포,휴식,감지,냄새,준비,안전장치,2가지,존재,과도,냄새,자극,세포,후각수용체,표식,G-단백질,냄새,후각수용체,활성,G-단백질,활성,결국,세포,과도,흥분,과도,냄새,자극,노출,후각수용체,세포,냄새물질,접촉,차단,후각,활성,과도,세포,흥분,차단,비약,세포,보호기전,코로나19,확산,연계,사회,적용,세포,사회,후각수용체,냄새물질,코로나바이러스,후각수용체,신호,증폭,감염,확산,가정,보호기전,작동,후각수용체,신호,무차별,증폭,제어,감염,코로나19,폭발적,확산,상황,유사,세포,후각수용체,세포,냄새물질,접촉,차단,마스크,코로나바이러스,접촉,원천적,차단,코로나19,확산,차단,유사,후각수용체,표식,단계,G-단백질,활성,차단,감염자,격리,감염,차단,코로나19,확산,저지,유사,세포,살길,1년,지속,코로나19,방역,마음,탈진,상태,연말,연말,마지막,기원,세계,소식,코로나백신,접종,만큼,2020년,교수,문제일,대구경북과학기술원,교수,인지과학","수용체,후각수용체,단백질,코로나19,노벨,문제일,냄새물질,신경세포,보호기전,안전장치,코로나바이러스,그중,만큼,코로나백신,노벨상","사람의 뇌는 1000억개의 신경세포가 서로 정교한 상호작용을 하며 우리의 생각과 감정을 조율한다. 신경세포들은 우리 몸 안팎의 다양한 자극을 감지하는데, 이러한 활동은 대부분 수용체란 단백질을 통해 이뤄진다. 그간 다양한 형태의 수용체가 발견되었는데, 그중 G-단백질 결합 수용체는 2004년 노벨 생리의학상과 2012년 노벨 화학상 선정으로 주목을 받았..",http://www.segye.com/content/html/2020/12/16/20201216514776.html,
02100601.20201216165547001,20201216,한국경제,조준혁(presscho@hankyung.com),"안철수 ""정부, 코로나백신 확보 한참 모자라는 상황""",미분류,,,,,,"안철수,최재욱,최연숙,전병율",,"국민의당,정부,고려대,이대,유튜브,예방의학과,질병관리본부","안철수,정부,한참,코로나백신,확보,상황,의사,출신,대표,안철수,국민의당,사진,정부,백신,확보,나라,한참,상황,지적,백신,안철수,대표,자신,유튜브,채널,공개,안박싱,영상,승인,정도,내년,중반,예상,이날,영상,정부,감염증,신종,코로나바이러스,코로나19,방역대책,현황,대책토론,이름,공개,안철수,대표,전병율,질병관리본부장,최재욱,고려대,예방,의학,교수,간호사,출신,의원,최연숙,국민의당,참여,안철수,대표,백신,효능,100%,나라들,인구,선계약,정도,우리나라,정부,대로,계약,4400만,나라,한참,상황,정부,설명,안전성,확인,나라들,변명,국민,주장,백신,영화,혼란,정부,접종,플랜,컨테이젼,할리우드,영화,분들,예전,인상,백신,일들,영화,감염력,코로나19,정도,치사율,메르스,30~40%,하루,사람들,난리,영화,세계적,복권,추첨,생일,사람들,접종,재수,1년,도중,암시장,테러,장면들,부분들,정부,신뢰,대비,투명,전문가들,협상,테이블,지혜,강조,백신,부작용,면책권,감염병예방법,백신,부작용,국가,책임,나라,사례,면책권,수용,불안,국민들,설명,소통,지혜,생각,역설","안철수,국민의당,코로나19,사람들,고려대,최재욱,면책권,나라들,코로나바이러스,할리우드,부작용,최연숙,코로나백신,암시장,전문가들,전문가,질병관리본부장,장면들,메르스,본부장,감염병예방법,감염병","의사 출신인 안철수 국민의당 대표(사진)는 정부의 백신 확보와 관련해 ""다른 나라에 비하면 한참 모자라는 상황""이라고 지적했다. ""백신 맞을 수 있는 시기 굉장히 늦춰지고 있다""안철수 대표는 16일 자신의 유튜브 채널을 통해 공개된 '안박싱' 영상에서 ""승인을 받더라도 내년 중반 정도로 예상이 된다. 오히려 맞을 수 있는 시기가 굉장히 늦춰진다는 것을 ..",https://www.hankyung.com/politics/article/2020121661247,
02100201.20201216163055001,20201216,머니투데이,베이징(중국)=김명룡|특파원,中 지방정부 코로나백신 구매러시 1회당 3만4000원,국제>중국, 경제>유통, 경제>자동차,,,,,"중국의약그룹,쓰촨,江蘇,중국,항만,장쑤,장쑤성,저장(浙江)성","동부,정부,시노백,중국생물(CNBG),중국,청구,쓰촨청,화이자,모더나","지방,정부,코로나백신,구매러시,1회,3만,중국,동부,장쑤,江蘇,시노팜,중국의약그룹,시노백,2종류,코로나19,COVID-,백신,접종량,위안,3만,구매,중앙,정부,금액,청구,가격,백신,구매,쓰촨,四川,저장,浙江,백신,긴급,사용,지불,금액,동일,중국,관영,글로벌,타임스,장쑤성,정부,시노팜,시노백,백신,생산,업체,계약,문서,공개,문서,백신,투여량,명시,쓰촨청,유형,긴급사용,코로나19,백신,긴급,사용,시작,접종,일반,시민,춘제,春節,중국,연휴,12일,내년,접종,계획,지방,정부,집단,항만,공항,국경,검문,세관,공항,픽업,환승,운전사,수입,콜드,체인,식품,분야,종사자,국제,항구,직원,접종,계획,온라인,설문,조사,응답자,80%,코로나19,백신,가격,수용,가능,백신,도매가격,접종,도매,가격,20달러,협상,백신업체,10~50달러,접종,달러,정부,청구,보도,중국,백신생산업체,캔시노,가격,공개,중국,백신,업체,백신,생산,능력,시노팜,중국,제약,업체,계열사,중국생물,CNBG,내년,연간,접종분,생산능력,코로나,백신,생산,능력,계획,회사,연간,접종분,백신,생산,능략,추가,생산,공장,증설,진행,시노백,중국,백신업체,생산능력,코로나19,백신,생산,능력,3억,6억,생산,시설,증설,진행","중국,1회,코로나19,시노팜,시노백,백신업체,접종량,3만,생산능력,종사자,온라인,코로나백신,3억,구매러시,도매가격","[머니투데이 베이징(중국)=김명룡 특파원] 
 
중국 동부의 장쑤(江蘇)성이 시노팜(중국의약그룹)과 시노백 등 2종류의 비활성화 코로나19(COVID-19) 백신을 1회 접종량 당 200위안(약 3만4000원)에 구매하기로 함에 따라 중앙 정부에 이 금액을 청구하기로 했다. 백신 구매 가격은 쓰촨(四川)성과 저장(浙江)성 등이 이 백신을 긴급 사용하기 ..",http://news.moneytoday.co.kr/view/mtview.php?no=2020121616073405748&type=2,
01100901.20201216111422001,20201216,중앙일보,문병주(moon.byungjoo@joongang.co.kr),“전세계 넷 중 하나 2022년까지 코로나백신 못 맞는다”,IT_과학>IT_과학일반, 경제>경제일반, 국제>일본,,,,,"공평,캐나다,미국,선주,일본,호주","공중보건대학원,로이터통신,세계보건기구,존스홉킨스대,WHO","세계,2022년,코로나백신,감염증,신종,코로나바이러스,코로나19,백신,상용화,정도,세계,인구,25%,내후년,백신,접종,예상,백신,확보,부국,빈국,대응,차이,로이터통신,미국,존스홉킨스대,공중,보건,대학원,연구진,15일,현지시간,전망,보도,세계,인구,15%,차지,부유,나라들,개발사,유력,생산,예정,백신,절반,51%,사전,주문,상태,나머지,49%,인구,나머지,85%,연구진,범유행,효과적,대응,부국들,세계,코로나,백신,공평,분배,강조,로이터통신,기준,미국,제조업체,백신,제조,업체,도스,1도스,접종,분량,백신,선주문,일본,호주,캐나다,회분,백신,확보,연구진,나라들,확진,확진자,1%,백신,업체들,생산량,내후년,세계,인구,세계,25%,정도,접종,연구진,지적,백신,제약사들,재산,세계보건기구,공유,주장,로이터통신","연구진,로이터통신,미국,내후년,코로나바이러스,존스홉킨스대,나라들,호주,캐나다,일본,1도스,확진자,세계보건기구,코로나백신,감염증,대학원,범유행,선주문,제약사,부국들,개발사,제약사들,생산량,상용화,코로나19,업체들","신종 코로나바이러스 감염증(코로나19) 백신이 속속 상용화되고 있는 가운데 전세계 인구 25% 정도는 내후년까지도 백신 접종을 받지 못할 것이라는 예상이 나왔다. 백신을 미리 확보하고 나선 부국과 그렇지 못한 빈국의 대응 차이 때문이라는 분석이다. 
 
 로이터통신은 미국 존스홉킨스대 공중보건대학원 연구진은 15일(현지시간) 이 같은 전망을 내놨다고 보..",https://news.joins.com/article/olink/23541526,
