date,title,where,link
2021.05.06.,"""화이자 코로나19 백신, 실제 접종서 95% 이상 예방 효과""",SBS언론사 선정,https://news.sbs.co.kr/news/endPage.do?news_id=N1006308813&plink=ORI&cooper=NAVER
2021.05.06.,미 “코로나 백신 특허권 일시유예 지지…합의까진 시간 걸려”,한겨레언론사 선정,http://www.hani.co.kr/arti/international/international_general/994046.html
2021.05.06.,바이든 “코로나 백신 지재권 면제 지지”… 업계는 강력 반발,조선일보언론사 선정,https://www.chosun.com/international/international_general/2021/05/06/LML2Q7MM45DAZNN7DPRKYJHKDQ/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
2021.05.06.,"정의용, G7에 공평한 코로나 백신 접근 위한 국제공조 촉구",서울신문언론사 선정,https://www.seoul.co.kr/news/newsView.php?id=20210506500015&wlog_tag3=naver
2021.05.06.,[속보] 화이자 “도쿄올림픽 선수단에 코로나 백신 공급”,중앙일보언론사 선정,https://news.joins.com/article/olink/23646439
2021.05.06.,"러시아, 1회 접종 코로나19 백신 '스푸트니크 라이트' 승인",MBC언론사 선정,https://imnews.imbc.com/news/2021/world/article/6170774_34880.html
2021.05.06.,"""화이자 코로나19 백신, 실제 접종서 95% 이상 예방 효과""",SBS언론사 선정,https://news.sbs.co.kr/news/endPage.do?news_id=N1006308813&plink=ORI&cooper=NAVER
2021.05.06.,바이든 “코로나 백신 지재권 면제 지지”… 업계는 강력 반발,조선일보언론사 선정,https://www.chosun.com/international/international_general/2021/05/06/LML2Q7MM45DAZNN7DPRKYJHKDQ/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
2021.05.06.,"美, 백신 특허 포기 지지…""코로나 종식 더 중요""",MBC언론사 선정,https://imnews.imbc.com/replay/2021/nwtoday/article/6170163_34943.html
2021.05.05.,WHO “北 코로나 백신 도입 사전 준비 중”,서울신문언론사 선정,https://www.seoul.co.kr/news/newsView.php?id=20210505500049&wlog_tag3=naver
2021.05.06.,정은경 “코로나19 매년 발생할 수도…백신으로 퇴치 불가”,채널A언론사 선정,http://www.ichannela.com/news/main/news_detailPage.do?publishId=000000248917
2021.05.06.,"美 ""코로나 백신 지식재산권 면제 지지""...공급 확대 길 열리나?",YTN,https://www.ytn.co.kr/_ln/0104_202105061718462162
2021.05.05.,"‘돈방석’ 화이자, 1분기에만 코로나19 백신 4조원어치 판매",서울신문언론사 선정,https://www.seoul.co.kr/news/newsView.php?id=20210505500030&wlog_tag3=naver
2021.05.06.,의협 “코로나19 백신 접종 후 사망한 이복근 의사 애도”,KBS,https://news.kbs.co.kr/news/view.do?ncd=5179352&ref=A
2021.05.04.,화이자 올 1분기 코로나백신 4조어치 팔아 1조 벌었다,매일경제언론사 선정,http://news.mk.co.kr/newsRead.php?no=432436&year=2021
2021.05.04.,"""소화제 먹고도 죽는다"" 코로나 백신 불안 언론 탓한 與대변인",중앙일보언론사 선정,https://news.joins.com/article/olink/23644686
2021.05.06.,[따져보니] 美·中 '백신 패권' 다툼…코로나 종식에 영향은?,TV조선,http://news.tvchosun.com/site/data/html_dir/2021/05/06/2021050690128.html
2021.05.06.,"美 ""코로나 백신 지재권 면제 지지""…WTO ""논의 신속히 진행""",TV조선,http://news.tvchosun.com/site/data/html_dir/2021/05/06/2021050690120.html
2021.05.05.,"국민 61.4% ""코로나19 백신 맞겠다""...3월보다 6.6%p 감소",YTN언론사 선정,https://www.ytn.co.kr/_ln/0103_202105051220205912
2021.05.05.,코로나 변이·백신 거부에… 전문가 “美 집단면역 힘들 것”,서울신문언론사 선정,https://www.seoul.co.kr/news/newsView.php?id=20210505012002&wlog_tag3=naver
2021.05.06.,"美, ‘코로나 백신 지식재산권 면제’ 공개 지지",KBS,https://news.kbs.co.kr/news/view.do?ncd=5179948&ref=A
2021.05.05.,"‘돈방석’ 화이자, 1분기에만 코로나19 백신 4조원어치 판매",서울신문언론사 선정,https://www.seoul.co.kr/news/newsView.php?id=20210505500030&wlog_tag3=naver
2021.05.05.,"‘돈방석’ 화이자, 1분기에만 코로나19 백신 4조원어치 판매",서울신문언론사 선정,https://www.seoul.co.kr/news/newsView.php?id=20210505500030&wlog_tag3=naver
2021.05.06.,"“화이자 코로나19 백신, 실제 접종서 95% 이상 예방 효과”",KBS,https://news.kbs.co.kr/news/view.do?ncd=5179529&ref=A
